Taxon,6.2100m,3.1950m,5.2050m,2.1900m,11.2180m,19.2260m,21.2300m,18.2250m,22.2350m,24.2390m,292D,255E,292E,224B,224G,378A,349B,349A,10.2170m,4.2000m,360C,349C,349I,360D,378M,CBM.D,CBM.GS,CBM.GD,GSB.S,GSB.GS,8.2150m,15.2220m,16.2230m,14.2210m,CHO.S,360H,224C,224D,255B,CHO.D,Neg.O,13.2200m,292B,CHO.GD,292H,255H,7.2125m,224L,20.2275m,349E,292A,CHO.GS,360B,360A,292G,12.2190m,255G,224A,349K,CBM.S,360G
Unassigned;Other;Other;Other;Other;Other,0.012594346,0.014721685,0.009959432,0.009253831,0.008001231,0.458385034,0.46320598,0.40180352,0.491901344,0.482756252,0.013933934,0.00733945,0.023654439,0.023565939,0.032766226,0.007462687,0.012125678,0.01495547,0.009102647,0.005822862,0.02660368,0.02000721,0.000492715,0.043184885,0.00733945,0.028117155,0.027032031,0.021126761,0.047645277,0.0378198,0.037131769,0.087514172,0.100522979,0.084730738,0.022922636,0.007613849,0.05565032,0.014492754,0.017735579,0.036426117,0,0.021999197,0.01849831,0.032703117,0.018564977,0,0.01557377,0.091176471,0.470564837,0,0.032630522,0.068421053,0.024117647,0.022430532,0.326829268,0.016601563,0,0.018782015,0.041204437,0,0
k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__Cenarchaeales;f__Cenarchaeaceae;g__Nitrosopumilus,0,0,0,0,0,0,0,0,0,0,0,0,0.001371272,0.00030539,0.00084016,0,0,8.40E-05,0,0,0.000248633,0.000720981,0,0.000134953,0.000917431,0,0,0,0,0,0,0,0,0,0,0,0.001279318,0,0.000358295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria;p__Acidobacteria;c__Acidobacteria-5;o__;f__;g__,0.000133982,0,0,0.000460598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.39E-05,0,0,0,0,0,0,0,0.000963468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;o__iii1-15;f__;g__,0.001950188,0.003438642,0.001622718,0.002889205,0.001384828,0,8.31E-05,8.67E-05,0,0,0,0,0,0,0,0,0,0,0.002001291,0.001838799,0,0,0,0,0,0,0,0,0,0,0.001234786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001912568,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria;p__Acidobacteria;c__BPC102;o__B110;f__;g__,0.001384485,0.002793896,0.00148073,0.002386735,0.000923219,0,8.31E-05,0,0,0,0.00012012,0.011009174,0.007199177,0,0,0,0,0,0.001872176,0.001532332,0,0,0,0.000539811,0.001834862,0,0,0,0,0,0.000793791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001470588,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria;p__Acidobacteria;c__PAUC37f;o__;f__;g__,0.000297739,0,0.00030426,8.37E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria;p__Acidobacteria;c__Sva0725;o__Sva0725;f__;g__,0.000640138,0,0.001034483,0.001423666,0.00015387,0,0,4.34E-05,0,0,0,0,0,0,0,0,0,0,0.000710136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001639344,0,0.000397772,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__;g__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000251046,0,0,0.001032773,0.000556174,0,0,0,0,0.00286533,0,0,0,0,0.002749141,0,0,0,0.001021972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__C111;g__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00010502,0.000829187,0.000133985,0,0,0,0,0,0,0,0,0.002259414,0.002777263,0.001341382,0.002065547,0.000556174,0,0,0,0,0,0,0,0,8.96E-05,0.000343643,0,0,7.98E-05,0,0,0,0,0,0,0,0.000251004,0,0,0.000167392,0,0,0,0,0,0,0
k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__OCS155;g__,0,0,0.000182556,0.001926137,0.000461609,0,0,0,0,0,0,0,0,0.004071868,0,0,0.001875796,0.001428331,0.00058102,0,0,0,0,0,0,0.018075314,0.045547121,0.007377599,0.071743321,0.022617723,0.002204974,0,0,0,0.06017192,0,0,0,0.005508778,0.037457045,0,0,0.00021293,0.024527338,0,0,0,0,0,0,0,0.023684211,0.001176471,0.00083696,0,0.002929688,0,0.000569152,0,0,0
k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__SC3-41;g__,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000661679,0.003360639,0.002487562,0.000267971,0.000168039,0,0,0,0,0,0,0,0.000502092,0,0.000335345,0,0,0,0,0,0,0,0,0,0,0.002508062,0,0,0,0.00021293,0,0,0,0,0,0,0,0,0,0.000784314,0.000669568,0,0,0,0,0,0,0
k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__TK06;g__,0.000565703,0.000537288,0.000365112,0.000376853,0.000923219,0,0,4.34E-05,0,0,0,0,0,0,0,0,0,0,0.001097482,0.000306466,0,0,0,0,0,0,0,0,0,0,0.000705592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__ZA3409c;g__,0.007175502,0.008811519,0.008032454,0.011808056,0.01754116,0.001240813,0.000166113,0.0005636,0.001012332,0.0001374,0.000960961,0,0.000342818,0,0,0,0,0,0.016914138,0.002758198,0.00099453,0.005227109,0,0.000404858,0.000917431,0,0,0,0,0,0.005909331,0.001558957,0.000138844,0.007608776,0,0,0.006183369,0.001976285,0,0,0,0.13978322,0,0,0.001170764,0,0.009289617,0.001470588,0,0,0,0,0,0,0,0.115234375,0,0,0,0,0
k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__koll13;g__,0,0,0,0,0,0,0,0,0,0,0,0.033027523,0.053479602,0,0,0,0,0,0,0,0,0,0,0,0,0.000167364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028169014,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__wb1_P06;g__,0,0,0,0,0,0,0,0,0,0,0,0,0,5.09E-05,0.00021004,0,0,0,0,0,0,0,0,0,0,0.000920502,0.000925754,0.001006036,0.00220325,0.000370782,0,0,0,0,0,0,0,0,8.96E-05,0.001718213,0,0,0,0.000510986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__;g__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000602934,8.40E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000313508,0,0,0,0.00093157,0,0,0,0,0,0,0,0.001129518,0,0,0.000502176,0,0,0,0.000569152,0,0,0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Corynebacteriaceae;g__Corynebacterium,0,0.000322373,8.11E-05,0.000251235,0,0.000238618,0,0.000130062,9.20E-05,0,0,0,0,0,0,0,0,0,0.000322789,0,0,0,0,0,0,0,0,0,0,0,0.000970189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Dietziaceae;g__Dietzia,0.003602638,0,8.11E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000306466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000101797,0.00031506,0,0.000870905,0.000588136,0,0,0,0,0,0,0,0.001171548,0.000740604,0.001006036,0.001927844,0.000556174,0,0,0,0,0,0,0,0,0.000268721,0.000343643,0,0,0.000851721,0.000510986,0,0,0,0,0,0,0.001568775,0,0.000392157,0.000669568,0,0,0,0,0,0,0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__CandidatusAquiluna,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000254492,0,0.000829187,0.003617606,0.002184507,0,0,0,0,0.001266981,0,0,0.000251046,0,0,0.000481961,0,0,0,0,0,0,0,0,0,0.002328914,0,0,0,0.003034255,0,0,0,0,0,0,0,0.004831827,0,0.003529412,0.003347841,0,0,0,0.002276608,0,0,0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Mycobacteriaceae;g__Mycobacterium,0.000684799,0,0,0,0,0,0,0,0,6.87E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000273224,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Propionibacteriaceae;g__Propionibacterium,0.000357286,0.005372878,0.003103448,0.002051754,0.000923219,0.00066813,0.001910299,0.001213908,0,0.002541907,0,0,0,0,0,0,0,0,0.000129116,0.011032792,0,0,0,0,0,0,0,0,0,0,0.001587582,7.09E-05,4.63E-05,7.39E-05,0,0,0,0,0,0,0.219512195,0.000722601,0,0,0,0,0.008196721,0,0,0,0,0,0,0,0,0.00390625,0,0,0,0,0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__WCHB1-81;f__At425_EubF1;g__,0,0,0,0,0,0.000572683,0,0.000433539,0.00018406,0.000206101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000352796,0.00042517,0.001157032,0.000590973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria;p__AncK6;c__;o__;f__;g__,0.000357286,0.000107458,0.000182556,0.000209363,0.00015387,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00058102,0,0,0,0,0,0,0,0,0,0,0,0.000264597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria;p__Bacteroidetes;c__;o__;f__;g__,0,0,0,0,0,9.54E-05,0.00166113,0.000260123,0.003221057,0.001305304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001988862,0,0,0,0,0,0,0,0,0,0,0,0
